movie_title,title_year,imdb_score
27 Dresses ,2008,6.1
Hannah Montana: The Movie ,2009,4.2
Up in the Air ,2009,7.4
Warm Bodies ,2013,6.9
Looper ,2012,7.4
Hope Springs ,2012,6.3
Forgetting Sarah Marshall ,2008,7.2
Baby Mama ,2008,6
Bride Wars ,2009,5.4
Midnight in Paris ,2011,7.7
The Nut Job ,2014,5.8
P.S. I Love You ,2007,7.1
Atonement ,2007,7.8
Letters to Juliet ,2010,6.5
The Three Stooges ,2012,5.1
Sicario ,2015,7.6
Southpaw ,2015,7.5
Drag Me to Hell ,2009,6.6
The Age of Adaline ,2015,7.2
Step Up 3D ,2010,6.2
30 Days of Night ,2007,6.6
The Cabin in the Woods ,2012,7
Meet the Spartans ,2008,2.7
Hanna ,2011,6.8
Larry Crowne ,2011,6.1
Carrie ,2013,5.9
9 ,2009,7.1
Side Effects ,2013,7.1
Winnie the Pooh ,2011,7.3
Get on Up ,2014,6.9
Deliver Us from Evil ,2014,6.2
Sanctum ,2011,5.9
The Five-Year Engagement ,2012,6.2
The Next Three Days ,2010,7.4
Love & Other Drugs ,2010,6.7
88 Minutes ,2007,5.9
Splice ,2009,5.8
Pride and Glory ,2008,6.7
Fright Night ,2011,6.4
Dragonball: Evolution ,2009,2.7
The Last Stand ,2013,6.4
Hoodwinked Too! Hood vs. Evil ,2011,4.8
The Imaginarium of Doctor Parnassus ,2009,6.8
Barney's Version ,2010,7.3
Runner Runner ,2013,5.6
Dead Man Down ,2013,6.5
The Assassination of Jesse James by the Coward Robert Ford ,2007,7.5
1911 ,2011,6
Little Nicholas ,2009,7.2
Wild Card ,2015,5.6
Machine Gun Preacher ,2011,6.8
Animals United ,2010,4.9
The Color of Freedom ,2007,7.1
United Passions ,2014,2
Grace of Monaco ,2014,5.7
A Warrior's Tail ,2015,4.1
Sausage Party ,2016,7.5
Pitch Perfect 2 ,2015,6.5
Frost/Nixon ,2008,7.7
The Boss ,2016,5.3
Straight Outta Compton ,2015,7.9
Florence Foster Jenkins ,2016,7.1
Role Models ,2008,6.9
The Big Short ,2015,7.8
Taking Woodstock ,2009,6.7
Harlock: Space Pirate ,2013,6.5
Last Vegas ,2013,6.6
Safe Haven ,2013,6.7
No Reservations ,2007,6.3
Kick-Ass ,2010,7.7
30 Minutes or Less ,2011,6.1
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",2014,6.2
3 Days to Kill ,2014,6.2
We Own the Night ,2007,6.9
The Spy Next Door ,2010,5.4
Our Brand Is Crisis ,2015,6.1
Pride and Prejudice and Zombies ,2016,5.8
How to Lose Friends & Alienate People ,2008,6.5
Kick-Ass 2 ,2013,6.6
Brick Mansions ,2014,5.7
Knocked Up ,2007,7
My Sister's Keeper ,2009,7.4
"Welcome Home, Roscoe Jenkins ",2008,5.3
Rendition ,2007,6.8
The Jungle Book ,2016,7.8
The Sisterhood of the Traveling Pants 2 ,2008,6.2
Joyful Noise ,2012,5.7
Anonymous ,2011,6.9
The Duchess ,2008,6.9
Case 39 ,2009,6.2
Martian Child ,2007,6.8
Spy Kids: All the Time in the World in 4D ,2011,3.6
Money Monster ,2016,6.7
What Just Happened ,2008,5.7
Paul Blart: Mall Cop ,2009,5.2
A Walk Among the Tombstones ,2014,6.5
Pineapple Express ,2008,7
Legion ,2010,5.2
Pain & Gain ,2013,6.5
Brothers ,2009,7.1
New Year's Eve ,2011,5.7
The Raven ,2012,6.4
Accidental Love ,2015,4
Self/less ,2015,6.5
Gran Torino ,2008,8.2
W. ,2008,6.4
Taken ,2008,7.9
The Best of Me ,2014,6.7
The Help ,2011,8.1
The Fifth Estate ,2013,6.2
Viy ,2014,5.4
The Face of an Angel ,2014,4.7
Cloverfield ,2008,7
No Country for Old Men ,2007,8.1
Ride Along ,2014,6.2
Parental Guidance ,2012,6.1
No Strings Attached ,2011,6.2
The Lucky One ,2012,6.5
Bridge to Terabithia ,2007,7.2
A Madea Christmas ,2013,4.7
The Grey ,2011,6.8
Contraband ,2012,6.5
There Will Be Blood ,2007,8.1
The House Bunny ,2008,5.5
Million Dollar Arm ,2014,7
The Giver ,2014,6.5
Good Luck Chuck ,2007,5.6
Mr. Bean's Holiday ,2007,6.3
Blood Ties ,2013,6.5
August Rush ,2007,7.5
The Sitter ,2011,5.7
Dance Flick ,2009,3.5
The Gambler ,2014,6
August: Osage County ,2013,7.3
Eddie the Eagle ,2016,7.5
Dear John ,2010,6.3
The Losers ,2010,6.4
Don't Be Afraid of the Dark ,2010,5.6
War ,2007,6.3
The Box ,2009,5.6
The Ruins ,2008,5.9
My Soul to Take ,2010,4.8
Legend ,2015,7
Hot Rod ,2007,6.7
Shark Night 3D ,2011,4
Draft Day ,2014,6.8
The Conspirator ,2010,7
The 33 ,2015,6.9
A Perfect Plan ,2012,6.3
Warrior ,2011,8.2
Stop-Loss ,2008,6.5
The Possession ,2012,5.9
Straw Dogs ,2011,5.8
The Road ,2009,7.3
Blindness ,2008,6.6
Carnage ,2011,7.2
Cirque du Soleil: Worlds Away ,2012,6.8
Me and Orson Welles ,2008,6.8
The Best Offer ,2013,7.8
Bad Lieutenant: Port of Call New Orleans ,2009,6.7
A Turtle's Tale: Sammy's Adventures ,2010,6.1
Little White Lies ,2010,7.1
Love Ranch ,2010,5.7
The True Story of Puss'N Boots ,2009,2.9
Space Dogs ,2010,5.2
The Counselor ,2013,5.3
Ironclad ,2011,6.2
Kung Fu Killer ,2014,6.5
Red Sky ,2014,4.1
On the Road ,2012,6.1
Point Break ,2015,5.3
Jane Got a Gun ,2016,5.8
Think Like a Man Too ,2014,5.7
Zack and Miri Make a Porno ,2008,6.6
The Men Who Stare at Goats ,2009,6.2
I Don't Know How She Does It ,2011,4.9
Piranha 3D ,2010,5.5
Faster ,2010,6.5
Zombieland ,2009,7.7
The Ides of March ,2011,7.1
Her ,2013,8
Eddie the Eagle ,2016,7.5
The Adventurer: The Curse of the Midas Box ,2013,5.4
Haywire ,2011,5.8
The Longshots ,2008,5.1
In the Valley of Elah ,2007,7.2
Coco Before Chanel ,2009,6.7
Forsaken ,2015,6.3
Chéri ,2009,6.2
Bodyguards and Assassins ,2009,6.9
1408 ,2007,6.8
The Water Diviner ,2014,7.1
The Game Plan ,2007,6.2
The Hundred-Foot Journey ,2014,7.3
Son of God ,2014,5.6
The Informant! ,2009,6.5
Delivery Man ,2013,6.4
Victor Frankenstein ,2015,6
Our Kind of Traitor ,2016,6.4
Diary of a Wimpy Kid: Dog Days ,2012,6.4
"Hail, Caesar! ",2016,6.4
Homefront ,2013,6.5
The Transporter Refueled ,2015,5.1
Hit and Run ,2012,6.1
Mad Money ,2008,5.8
Before I Go to Sleep ,2014,6.3
Stone ,2010,5.4
Molière ,2007,7.3
Out of the Furnace ,2013,6.8
Michael Clayton ,2007,7.3
Underdogs ,2013,6.7
To Rome with Love ,2012,6.3
Death at a Funeral ,2007,7.4
Silver Linings Playbook ,2012,7.8
Freedom Writers ,2007,7.5
For Colored Girls ,2010,6
Never Back Down ,2008,6.6
Away We Go ,2009,7.1
Swing Vote ,2008,6.1
Tinker Tailor Soldier Spy ,2011,7.1
The Beaver ,2011,6.7
Jackass 3D ,2010,7.1
Beverly Hills Chihuahua ,2008,3.7
The Conjuring ,2013,7.5
Tammy ,2014,4.9
Disturbia ,2007,6.9
The Descendants ,2011,7.3
The Last Song ,2010,5.8
12 Years a Slave ,2013,8.1
Why Did I Get Married Too? ,2010,4.4
Me Before You ,2016,7.6
Madea's Witness Protection ,2012,4.8
Bad Moms ,2016,6.7
Selma ,2014,7.5
Premonition ,2007,5.9
Orphan ,2009,7
Max ,2015,6.8
Epic Movie ,2007,2.3
Spotlight ,2015,8.1
Lakeview Terrace ,2008,6.1
The American ,2010,6.3
Vampires Suck ,2010,3.5
This Is Where I Leave You ,2014,6.6
Doubt ,2008,7.5
Texas Chainsaw 3D ,2013,4.8
Scary Movie 5 ,2013,3.5
Milk ,2008,7.6
Risen ,2016,6.3
A Very Harold & Kumar 3D Christmas ,2011,6.3
The Stepfather ,2009,5.6
The Debt ,2010,6.9
One Missed Call ,2008,3.9
The Bank Job ,2008,7.3
You Again ,2010,5.8
Street Kings ,2008,6.8
The World's End ,2013,7
Nancy Drew ,2007,5.9
Daybreakers ,2009,6.5
She's Out of My League ,2010,6.4
Monte Carlo ,2011,5.8
Alpha and Omega ,2010,5.3
Shorts ,2009,4.9
Nerve ,2016,7.1
Appaloosa ,2008,6.8
My Best Friend's Girl ,2008,5.9
Endless Love ,2014,6.3
Georgia Rule ,2007,5.9
Reign Over Me ,2007,7.5
Into the Wild ,2007,8.2
Silent Hill: Revelation 3D ,2012,5
The Kite Runner ,2007,7.6
Twilight ,2008,5.2
Capitalism: A Love Story ,2009,7.4
Secret in Their Eyes ,2015,6.2
Disaster Movie ,2008,1.9
Armored ,2009,5.7
What's Your Number? ,2011,6
Lockout ,2012,6.1
Crank: High Voltage ,2009,6.2
Ghost Town ,2008,6.7
12 Rounds ,2009,5.6
Let Me In ,2010,7.2
Be Kind Rewind ,2008,6.4
Triple 9 ,2016,6.3
Burnt ,2015,6.6
Death at a Funeral ,2007,7.4
Death Sentence ,2007,6.8
Everybody's Fine ,2009,7.2
Code Name: The Cleaner ,2007,4.5
Inherent Vice ,2014,6.7
Battle of the Year ,2013,5
An American Carol ,2008,4.3
Machete Kills ,2013,5.6
Strange Wilderness ,2008,5.3
Little Boy ,2015,7.4
A Dangerous Method ,2011,6.5
Chasing Mavericks ,2012,7.2
Bandslam ,2009,6.4
A Most Violent Year ,2014,7
Passchendaele ,2008,6.5
Flash of Genius ,2008,7
I'm Not There. ,2007,7
The Cold Light of Day ,2012,4.9
The Brothers Bloom ,2008,6.9
"Synecdoche, New York ",2008,7.5
Courage ,2015,7
The Children of Huang Shi ,2008,7.1
The Oogieloves in the Big Balloon Adventure ,2012,6.7
By the Sea ,2015,5.3
All Good Things ,2010,6.3
CJ7 ,2008,6.5
Dylan Dog: Dead of Night ,2010,5.1
The Tempest ,2010,5.4
Regression ,2015,5.7
The Touch ,2007,5.2
Three Kingdoms: Resurrection of the Dragon ,2008,6.2
Shattered ,2007,6.7
Zambezia ,2012,5.8
Ramanujan ,2014,7
Dwegons and Leprechauns ,2014,4.8
Hands of Stone ,2016,7.2
Survivor ,2015,5.6
The Frozen Ground ,2013,6.4
The Baader Meinhof Complex ,2008,7.4
Bad Teacher ,2011,5.7
I Can Do Bad All by Myself ,2009,4.1
Fight Valley ,2016,5
The Switch ,2010,6.1
The Devil's Double ,2011,7.1
The Crazies ,2010,6.5
Firestorm ,2013,6.2
The Book Thief ,2013,7.6
Sex Drive ,2008,6.5
Leap Year ,2010,6.4
Take Me Home Tonight ,2011,6.3
Won't Back Down ,2012,6.4
Indignation ,2016,7.8
Out of Inferno ,2013,5.7
The Invention of Lying ,2009,6.4
Neighbors ,2014,6.4
Left Behind ,2014,3.1
My Big Fat Greek Wedding 2 ,2016,6.1
Diary of a Wimpy Kid: Rodrick Rules ,2011,6.6
Prom Night ,2008,3.9
Birdman or (The Unexpected Virtue of Ignorance) ,2014,7.8
Blue Jasmine ,2013,7.3
Soul Surfer ,2011,7.1
Observe and Report ,2009,5.8
Love Happens ,2009,5.6
Fame ,2009,5
127 Hours ,2010,7.6
Love the Coopers ,2015,5.7
Steve Jobs ,2015,7.2
"I Love You, Beth Cooper ",2009,5.3
Youth in Revolt ,2009,6.5
Getaway ,2013,4.4
And So It Goes ,2014,5.7
The Last Station ,2009,7
Labor Day ,2013,6.9
Mongol: The Rise of Genghis Khan ,2007,7.3
RocknRolla ,2008,7.3
Mao's Last Dancer ,2009,7.4
Midnight Special ,2016,6.7
The Railway Man ,2013,7.1
The White Ribbon ,2009,7.8
Restoration ,2016,4
Metallica Through the Never ,2013,7.2
The Informers ,2008,5.1
I Come with the Rain ,2009,5.5
I Am Wrath ,2016,5.2
Forsaken ,2015,6.3
Red Lights ,2012,6.2
Superbad ,2007,7.6
Madea Goes to Jail ,2009,4.1
Wolves ,2014,5.3
Step Up 2: The Streets ,2008,6.2
Hitman ,2007,6.3
Black Nativity ,2013,4.4
The Prince ,2014,4.6
Let's Be Cops ,2014,6.5
The Best Man Holiday ,2013,6.7
Saw 3D: The Final Chapter ,2010,5.6
TRON: Legacy ,2010,6.8
Beastly ,2011,5.6
"McFarland, USA ",2015,7.4
Lottery Ticket ,2010,4.9
Pitch Perfect ,2012,7.2
Brooklyn's Finest ,2009,6.7
Evil Dead ,2013,6.5
My Life in Ruins ,2009,5.9
How She Move ,2007,3.3
Escobar: Paradise Lost ,2014,6.6
Dragon Hunters ,2008,6.6
The Apparition ,2012,4.1
Becoming Jane ,2007,7.1
Sydney White ,2007,6.3
The Artist ,2011,8
The Unborn ,2009,4.8
Moonrise Kingdom ,2012,7.8
The Young Messiah ,2016,5.4
The Roommate ,2011,4.8
Hot Fuzz ,2007,7.9
The Women ,2008,4.9
Vicky Cristina Barcelona ,2008,7.2
Arn: The Knight Templar ,2007,6.6
Bad Moms ,2016,6.7
Jennifer's Body ,2009,5.1
Left Behind ,2014,3.1
Remember Me ,2010,7.2
Things We Lost in the Fire ,2007,7.2
The Immigrant ,2013,6.6
Trance ,2013,7
Welcome to the Sticks ,2008,7.1
Good ,2008,6.2
Enter the Void ,2009,7.3
Vamps ,2012,5.1
Hachi: A Dog's Tale ,2009,8.1
Zulu ,2013,6.7
The Homesman ,2014,6.6
The King's Speech ,2010,8
The Yellow Handkerchief ,2008,6.8
Tidal Wave ,2009,5.7
Ben-Hur ,2016,6.1
The Imitation Game ,2014,8.1
Diary of a Wimpy Kid ,2010,6.2
Mama ,2013,6.2
Bad Grandpa ,2013,6.6
Why Did I Get Married? ,2007,5.6
The Woman in Black ,2012,6.4
Snitch ,2013,6.5
Krampus ,2015,6.2
End of Watch ,2012,7.7
Aloha ,2015,5.4
The Theory of Everything ,2014,7.7
Halloween II ,2009,4.9
Wild ,2014,7.1
The Last House on the Left ,2009,6.6
Clash of the Titans ,2010,5.8
The Great Debaters ,2007,7.6
Drive ,2011,7.8
28 Weeks Later ,2007,7
When the Game Stands Tall ,2014,6.7
All About Steve ,2009,4.8
Ramona and Beezus ,2010,6.7
The Hills Have Eyes II ,2007,5.1
Keanu ,2016,6.4
Country Strong ,2010,6.3
The Place Beyond the Pines ,2012,7.3
The November Man ,2014,6.3
The Hurt Locker ,2008,7.6
Killing Them Softly ,2012,6.2
A Most Wanted Man ,2014,6.8
The Pirates Who Don't Do Anything: A VeggieTales Movie ,2008,5.7
U2 3D ,2007,8.4
One Day ,2011,7
Whip It ,2009,6.9
The Man with the Iron Fists ,2012,5.4
A Mighty Heart ,2007,6.7
In Bruges ,2008,8
Peeples ,2013,5.3
The Rocker ,2008,6.2
Post Grad ,2009,5.3
Promised Land ,2012,6.6
Whatever Works ,2009,7.2
Blood and Chocolate ,2007,5.5
You Will Meet a Tall Dark Stranger ,2010,6.3
Never Let Me Go ,2010,7.2
Transsiberian ,2008,6.7
Funny Games ,2007,6.5
Listening ,2014,5.6
The Assassin ,2015,6.4
Ong-bak 2 ,2008,6.2
Centurion ,2010,6.4
The Midnight Meat Train ,2008,6.1
Winnie Mandela ,2011,6
The Son of No One ,2011,5.1
The Good Night ,2007,5.9
Bathory: Countess of Blood ,2008,6
Khumba ,2013,5.8
Automata ,2014,6.1
Chiamatemi Francesco - Il Papa della gente ,2015,5.7
Shinjuku Incident ,2009,7.1
Magic Mike XXL ,2015,5.7
Sarah's Key ,2010,7.5
Freedom ,2014,6.2
Slumdog Millionaire ,2008,8
Broken Horses ,2015,5.7
My Bloody Valentine ,2009,5.5
The Possession ,2012,5.9
Stomp the Yard ,2007,5.2
Good Deeds ,2012,5.4
The Iron Lady ,2011,6.4
A Perfect Getaway ,2009,6.5
Our Family Wedding ,2010,4.9
I Think I Love My Wife ,2007,5.5
Fun Size ,2012,5.4
The Diving Bell and the Butterfly ,2007,8
Easy Virtue ,2008,6.7
Mr. Turner ,2014,6.8
Wild Grass ,2009,6.3
Reign of Assassins ,2010,6.9
The Lucky Ones ,2008,7
Margaret ,2011,6.5
Stan Helsing ,2009,3.6
Flipped ,2010,7.7
Teenage Mutant Ninja Turtles ,2014,5.9
Hot Tub Time Machine 2 ,2015,5.1
Seven Psychopaths ,2012,7.2
Under the Skin ,2013,6.3
The Last Godfather ,2010,3.6
Justin Bieber: Never Say Never ,2011,1.6
Black Swan ,2010,8
RoboCop ,2014,6.2
Miracles from Heaven ,2016,6.8
St. Vincent ,2014,7.3
About Last Night ,2014,6.1
The Shallows ,2016,6.8
This Christmas ,2007,6.1
No Good Deed ,2014,5.6
The Mist ,2007,7.2
Ex Machina ,2015,7.7
Earth to Echo ,2014,5.8
Room ,2015,8.3
21 & Over ,2013,5.9
Resurrecting the Champ ,2007,6.8
Admission ,2013,5.7
Chloe ,2009,6.3
Brothers ,2009,7.1
The Perks of Being a Wallflower ,2012,8
The Vatican Tapes ,2015,4.5
Attack the Block ,2011,6.6
In the Land of Blood and Honey ,2011,4.3
The Call ,2013,6.7
Operation Chromite ,2016,6.8
I Love You Phillip Morris ,2009,6.6
Womb ,2010,6.4
The Killer Inside Me ,2010,6.1
Sorority Row ,2009,5.1
Lars and the Real Girl ,2007,7.4
The Boy in the Striped Pajamas ,2008,7.8
Solitary Man ,2009,6.4
Machete ,2010,6.7
Casino Jack ,2010,6.2
The Perfect Game ,2009,7
Ernest & Celestine ,2012,7.9
Think Like a Man ,2012,6.6
Act of Valor ,2012,6.5
Harold & Kumar Escape from Guantanamo Bay ,2008,6.6
Chronicle ,2012,7.1
Project X ,2012,6.7
Quarantine ,2008,6
The Eye ,2008,5.4
Katy Perry: Part of Me ,2012,5.9
The Fault in Our Stars ,2014,7.8
Top Five ,2014,6.5
Philomena ,2013,7.6
Paper Towns ,2015,6.4
Nebraska ,2013,7.8
Young Adult ,2011,6.3
Just Wright ,2010,5.8
Rachel Getting Married ,2008,6.7
About Time ,2013,7.8
Arbitrage ,2012,6.6
Project Almanac ,2015,6.4
Cadillac Records ,2008,7
Two Lovers ,2008,7.1
Charlie Bartlett ,2007,7
The Great Beauty ,2013,7.7
Stoker ,2013,6.8
Married Life ,2007,6.3
Ondine ,2009,6.8
The Life Before Her Eyes ,2007,6.4
Darling Companion ,2012,5.1
Trade ,2007,7.5
"A Woman, a Gun and a Noodle Shop ",2009,5.7
City of Life and Death ,2009,7.7
Home ,2015,6.7
Legend of Kung Fu Rabbit ,2011,3.2
Space Battleship Yamato ,2010,6.1
5 Days of War ,2011,5.6
Triangle ,2009,6.9
10 Days in a Madhouse ,2015,7.5
Heaven Is for Real ,2014,5.8
Dancin' It's On ,2015,2.8
The Cry of the Owl ,2009,6
A Tale of Three Cities ,2015,6.2
Dirty Grandpa ,2016,6
Trash ,2014,7.2
High School Musical 3: Senior Year ,2008,4.5
The Fighter ,2010,7.9
If I Stay ,2014,6.8
Drive Hard ,2014,4.3
St. Trinian's ,2007,5.8
Saw VI ,2009,6
The Secret Life of Bees ,2008,7.3
Brooklyn ,2015,7.5
Quartet ,2012,6.8
Woman in Gold ,2015,7.3
Inside Llewyn Davis ,2013,7.4
Brighton Rock ,2010,5.7
Saw V ,2008,5.8
LOL ,2012,4.3
The Last Days on Mars ,2013,5.5
In the Land of Women ,2007,6.5
Housefull ,2010,5.3
September Dawn ,2007,5.8
For Greater Glory: The True Story of Cristiada ,2012,6.6
La Famille Bélier ,2014,7.4
Misconduct ,2016,5.3
The Purge: Election Year ,2016,6.1
Precious ,2009,7.3
Saw IV ,2007,5.9
The Best Exotic Marigold Hotel ,2011,7.3
The Boy ,2016,6
Devil ,2010,6.3
Insidious: Chapter 3 ,2015,6.1
Nick and Norah's Infinite Playlist ,2008,6.7
Pete's Dragon ,2016,7.3
Sinister 2 ,2015,5.2
Sparkle ,2012,5.7
The Fourth Kind ,2009,5.9
Skyline ,2010,4.4
The Second Best Exotic Marigold Hotel ,2015,6.6
Kit Kittredge: An American Girl ,2008,6.7
Mud ,2012,7.4
Reno 911!: Miami ,2007,5.9
One Direction: This Is Us ,2013,4.1
"The Goods: Live Hard, Sell Hard ",2009,5.8
My Week with Marilyn ,2011,7
The Gift ,2015,7.1
Big Eyes ,2014,7
MacGruber ,2010,5.5
Movie 43 ,2013,4.3
The Tourist ,2010,6
Over Her Dead Body ,2008,5.2
Seeking a Friend for the End of the World ,2012,6.7
Cedar Rapids ,2011,6.3
The Collection ,2012,6.1
Bad Words ,2013,6.7
"Run, Fatboy, Run ",2007,6.6
Black or White ,2014,6.6
Danny Collins ,2015,7.1
"Jeff, Who Lives at Home ",2011,6.5
I Am Love ,2009,7
Atlas Shrugged II: The Strike ,2012,5.5
Bucky Larson: Born to Be a Star ,2011,3.3
The Forest ,2016,4.8
While We're Young ,2014,6.3
A Better Life ,2011,7.2
The Iceman ,2012,6.9
Killer Joe ,2011,6.7
The Joneses ,2009,6.5
The Brothers Solomon ,2007,5.3
My Blueberry Nights ,2007,6.7
"War, Inc. ",2008,5.7
Rosewater ,2014,6.6
Coriolanus ,2011,6.2
World's Greatest Dad ,2009,6.9
Welcome to the Rileys ,2010,7
Blood Done Sign My Name ,2010,6.7
"Cinco de Mayo, La Batalla ",2013,6.2
Elsa & Fred ,2014,6.5
The Open Road ,2009,5.5
The Good Guy ,2009,5.9
Motherhood ,2009,4.7
Free Style ,2008,4.2
Strangerland ,2015,5.2
The Janky Promoters ,2009,5.2
Blonde Ambition ,2007,3.9
The Oxford Murders ,2008,6.1
The Reef ,2010,5.8
White Noise 2: The Light ,2007,5.7
You Got Served: Beat the World ,2011,4.5
Fifty Dead Men Walking ,2008,6.9
Jungle Shuffle ,2014,4.8
Adam Resurrected ,2008,6.3
Of Horses and Men ,2013,6.9
It's a Wonderful Afterlife ,2010,5.4
The Devil's Tomb ,2009,3.8
Partition ,2007,7
Good Intentions ,2010,5.2
"The Good, the Bad, the Weird ",2008,7.3
Nurse 3D ,2013,4.6
Gunless ,2010,6.5
Adventureland ,2009,6.8
American Heist ,2014,5.2
Plastic ,2014,6
Amour ,2012,7.9
Re-Kill ,2015,5.1
Gentlemen Broncos ,2009,6.1
Into the Grizzly Maze ,2015,5.3
Kites ,2010,6
Melancholia ,2011,7.1
Red Dog ,2011,7.5
Jab Tak Hai Jaan ,2012,6.9
The Runaways ,2010,6.6
Detention ,2011,5.8
Loose Cannons ,2010,7.3
Sicko ,2007,8
The Purge: Anarchy ,2014,6.5
The Savages ,2007,7.2
Gracie ,2007,6.2
Hamlet 2 ,2008,6.4
The Wailing ,2016,7.7
Glee: The 3D Concert Movie ,2011,5.4
Barbecue ,2014,6.1
Princess Kaiulani ,2009,6.2
Heist ,2015,6.1
Flame and Citron ,2008,7.3
Red Riding: In the Year of Our Lord 1974 ,2009,7.1
The Girl on the Train ,2009,6
Veronika Decides to Die ,2009,6.5
"Ultramarines: A Warhammer 40,000 Movie ",2010,5.7
Beneath Hill 60 ,2010,7.1
Polisse ,2011,7.3
Awake ,2007,6.5
Skin Trade ,2014,5.7
Crazy Heart ,2009,7.3
Baggage Claim ,2013,5
The DUFF ,2015,6.5
The Haunting in Connecticut 2: Ghosts of Georgia ,2013,5.3
Bright Star ,2009,7
My Name Is Khan ,2010,8
All Is Lost ,2013,6.9
Namastey London ,2007,7.3
Yeh Jawaani Hai Deewani ,2013,6.9
Repo! The Genetic Opera ,2008,6.7
Nightcrawler ,2014,7.9
50/50 ,2011,7.7
Shutter ,2008,5.2
That Awkward Moment ,2014,6.1
Kicks ,2016,7.8
New in Town ,2009,5.6
The Boondock Saints II: All Saints Day ,2009,6.3
The City of Your Final Destination ,2009,6.4
Enough Said ,2013,7.1
Easy A ,2010,7.1
